time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B
-4.00128e-06,0,-4.00128e-06,-0.00399992,-8e-07,0.00160008,-8e-07,-0.00239992,-8e-07,0.0168001,-8e-07,0.0139999,-8e-07,0.0119999
-4.00048e-06,0,-4.00048e-06,-0.00399992,-7.996e-07,-0.00159992,-7.996e-07,-0.00799992,-7.996e-07,0.0144001,-7.996e-07,0.00599986,-7.996e-07,0.0159999
-3.99968e-06,0,-3.99968e-06,-0.000799922,-7.992e-07,-0.00719992,-7.992e-07,-0.00399992,-7.992e-07,0.0104001,-7.992e-07,0.00399986,-7.992e-07,0.00399986
-3.99888e-06,0.012,-3.99888e-06,-0.00479992,-7.988e-07,0.000800078,-7.988e-07,-0.00159992,-7.988e-07,0.0152001,-7.988e-07,-1.42492e-07,-7.988e-07,0.0119999
-3.99808e-06,-0.008,-3.99808e-06,7.79983e-08,-7.984e-07,-0.00159992,-7.984e-07,-0.0103999,-7.984e-07,0.0120001,-7.984e-07,-0.00200014,-7.984e-07,0.0159999
-3.99728e-06,0.02,-3.99728e-06,-0.00559992,-7.98e-07,-0.00399992,-7.98e-07,-0.00639992,-7.98e-07,0.00960008,-7.98e-07,0.0159999,-7.98e-07,0.00399986
-3.99648e-06,-0.004,-3.99648e-06,-0.00319992,-7.976e-07,-0.000799922,-7.976e-07,7.79983e-08,-7.976e-07,0.0136001,-7.976e-07,0.00399986,-7.976e-07,0.00399986
-3.99568e-06,0.008,-3.99568e-06,0.00240008,-7.972e-07,0.000800078,-7.972e-07,-0.00559992,-7.972e-07,0.0160001,-7.972e-07,0.00199986,-7.972e-07,0.0119999
-3.99488e-06,-0.016,-3.99488e-06,-0.00159992,-7.968e-07,-0.00639992,-7.968e-07,-0.00239992,-7.968e-07,0.0104001,-7.968e-07,0.00399986,-7.968e-07,0.00599986
-3.99408e-06,0.02,-3.99408e-06,7.79983e-08,-7.964e-07,-0.00399992,-7.964e-07,-0.00319992,-7.964e-07,0.0112001,-7.964e-07,0.0179999,-7.964e-07,0.00799986
-3.99328e-06,-0.008,-3.99328e-06,7.79983e-08,-7.96e-07,-0.00239992,-7.96e-07,-0.00319992,-7.96e-07,0.00480008,-7.96e-07,0.0119999,-7.96e-07,0.00999986
-3.99248e-06,0,-3.99248e-06,-0.000799922,-7.956e-07,-0.000799922,-7.956e-07,-0.00319992,-7.956e-07,0.0152001,-7.956e-07,0.0159999,-7.956e-07,0.0139999
-3.99168e-06,0.004,-3.99168e-06,-0.00399992,-7.952e-07,-0.00319992,-7.952e-07,-0.00879992,-7.952e-07,0.00560008,-7.952e-07,0.0159999,-7.952e-07,0.0179999
-3.99088e-06,0.008,-3.99088e-06,0.00160008,-7.948e-07,-0.00399992,-7.948e-07,-0.00159992,-7.948e-07,0.00400008,-7.948e-07,0.0179999,-7.948e-07,0.0179999
-3.99008e-06,0.004,-3.99008e-06,-0.00239992,-7.944e-07,0.00160008,-7.944e-07,0.000800078,-7.944e-07,0.00640008,-7.944e-07,0.0119999,-7.944e-07,0.0159999
-3.98928e-06,0.004,-3.98928e-06,0.00400008,-7.94e-07,-0.00799992,-7.94e-07,-0.00479992,-7.94e-07,0.00880008,-7.94e-07,0.00799986,-7.94e-07,0.0219999
-3.98848e-06,-0.004,-3.98848e-06,0.000800078,-7.936e-07,0.00240008,-7.936e-07,-0.00399992,-7.936e-07,0.0120001,-7.936e-07,0.00199986,-7.936e-07,0.0179999
